num_leaves	min_data_in_leaf	learning_rate	feature_fraction	bagging_fraction	bagging_freq	lambda_l2	AUC	best_iter
15	500	0.01	0.7	0.75	1	1	0.932065076370363	1047
15	500	0.01	0.7	0.9	1	0	0.931475559945594	1213
15	500	0.01	0.7	0.9	1	1	0.931356758600479	997
15	500	0.01	0.7	1	1	0	0.93105399344672	1227
15	500	0.01	0.7	1	1	1	0.931411366422779	1169
15	500	0.02	0.5	0.75	1	0	0.931913915688194	630
15	500	0.02	0.5	0.75	1	1	0.932459802258035	537
15	500	0.02	0.5	0.9	1	0	0.931792218489407	525
15	500	0.02	0.5	0.9	1	1	0.931434037090236	569
15	500	0.02	0.5	1	1	0	0.930947943468212	490
15	500	0.02	0.5	1	1	1	0.931538934475752	613
15	500	0.02	0.7	0.75	1	0	0.932401841763179	506
15	500	0.02	0.7	0.75	1	1	0.931522878403774	551
15	500	0.02	0.7	0.9	1	0	0.932086643430523	581
15	500	0.02	0.7	0.9	1	1	0.931563784033811	601
15	500	0.02	0.7	1	1	0	0.931619864902515	619
15	500	0.02	0.7	1	1	1	0.93190252498205	595
15	800	0.01	0.5	0.75	1	0	0.930899716599371	1219
15	800	0.01	0.5	0.75	1	1	0.931187266841857	1320
15	800	0.01	0.5	0.9	1	0	0.93265063046383	1301
15	800	0.01	0.5	0.9	1	1	0.93160975298311	1056
15	800	0.01	0.5	1	1	0	0.932252877088074	1030
15	800	0.01	0.5	1	1	1	0.931672439325601	1005
15	800	0.01	0.7	0.75	1	0	0.93245032569387	1334
15	800	0.01	0.7	0.75	1	1	0.931413575427471	1408
15	800	0.01	0.7	0.9	1	0	0.931342442722515	1149
15	800	0.01	0.7	0.9	1	1	0.931527708086314	1070
15	800	0.01	0.7	1	1	0	0.931452390556476	1049
15	800	0.01	0.7	1	1	1	0.930210094185588	1043
15	800	0.02	0.5	0.75	1	0	0.931062220824579	651
15	800	0.02	0.5	0.75	1	1	0.932393848004712	719
15	800	0.02	0.5	0.9	1	0	0.932056507536485	513
15	800	0.02	0.5	0.9	1	1	0.931494013869717	607
15	800	0.02	0.5	1	1	0	0.931779352531329	544
15	800	0.02	0.5	1	1	1	0.930911615254689	568
15	800	0.02	0.7	0.75	1	0	0.931366730823787	577
15	800	0.02	0.7	0.75	1	1	0.931924688357696	784
15	800	0.02	0.7	0.9	1	0	0.93178177286014	581
15	800	0.02	0.7	0.9	1	1	0.932188863203224	569
15	800	0.02	0.7	1	1	0	0.931219409076017	614
15	800	0.02	0.7	1	1	1	0.931691448527731	703
31	300	0.01	0.5	0.75	1	0	0.932526531082599	701
31	300	0.01	0.5	0.75	1	1	0.932093474505449	913
31	300	0.01	0.5	0.9	1	0	0.932873131889783	856
31	300	0.01	0.5	0.9	1	1	0.932087267950691	899
31	300	0.01	0.5	1	1	0	0.932060956408365	807
31	300	0.01	0.5	1	1	1	0.931830508303588	917
31	300	0.01	0.7	0.75	1	0	0.93252894670164	746
31	300	0.01	0.7	0.75	1	1	0.932721351831342	796
31	300	0.01	0.7	0.9	1	0	0.932172278350524	707
31	300	0.01	0.7	0.9	1	1	0.931915143860565	776
31	300	0.01	0.7	1	1	0	0.931387983647237	704
31	300	0.01	0.7	1	1	1	0.931505494472208	888
31	300	0.02	0.5	0.75	1	0	0.932109292540209	372
31	300	0.02	0.5	0.75	1	1	0.932120910451487	363
31	300	0.02	0.5	0.9	1	0	0.932078330257541	308
31	300	0.02	0.5	0.9	1	1	0.933022019847706	462
31	300	0.02	0.5	1	1	0	0.931588286053839	320
31	300	0.02	0.5	1	1	1	0.931872301082904	484
31	300	0.02	0.7	0.75	1	0	0.932648627524924	428
31	300	0.02	0.7	0.75	1	1	0.93227404863703	397
31	300	0.02	0.7	0.9	1	0	0.931509038252601	295
31	300	0.02	0.7	0.9	1	1	0.932165296816385	408
31	300	0.02	0.7	1	1	0	0.930939635957877	390
31	300	0.02	0.7	1	1	1	0.931156861665729	398
31	500	0.01	0.5	0.75	1	0	0.932456995781203	753
31	500	0.01	0.5	0.75	1	1	0.931998576417302	839
31	500	0.01	0.5	0.9	1	0	0.932036021400787	751
31	500	0.01	0.5	0.9	1	1	0.93299303707414	778
31	500	0.01	0.5	1	1	0	0.932624244722271	827
