num_leaves	min_data_in_leaf	learning_rate	feature_fraction	bagging_fraction	bagging_freq	lambda_l2	max_depth	min_gain_to_split	AUC	best_iter
31	500	0.01	0.4	0.9	1	0	-1	0.01	0.932904864574671	764
31	500	0.01	0.4	0.9	1	0	8	0	0.933189512967403	1023
31	500	0.01	0.4	0.9	1	0	8	0.01	0.932418173661473	982
31	500	0.01	0.5	0.75	1	0	-1	0	0.933545484002167	898
31	500	0.01	0.5	0.75	1	0	-1	0.01	0.932740140740289	750
31	500	0.01	0.5	0.75	1	0	8	0	0.933228364792564	809
31	500	0.01	0.5	0.75	1	0	8	0.01	0.932414034028872	903
31	500	0.01	0.5	0.9	1	0	-1	0	0.93224594587991	802
31	500	0.01	0.5	0.9	1	0	-1	0.01	0.932926959437915	895
31	500	0.01	0.5	0.9	1	0	8	0	0.931919557891111	941
31	500	0.01	0.5	0.9	1	0	8	0.01	0.932737696918147	814
31	500	0.01	0.6	0.75	1	0	-1	0	0.932939868701494	738
31	500	0.01	0.6	0.75	1	0	-1	0.01	0.933919013482124	778
31	500	0.01	0.6	0.75	1	0	8	0	0.932934932925786	941
31	500	0.01	0.6	0.75	1	0	8	0.01	0.932373968956328	945
31	500	0.01	0.6	0.9	1	0	-1	0	0.932954407048152	794
31	500	0.01	0.6	0.9	1	0	-1	0.01	0.933266101371554	770
31	500	0.01	0.6	0.9	1	0	8	0	0.932227642519137	1095
31	500	0.01	0.6	0.9	1	0	8	0.01	0.93269726811617	1040
31	500	0.02	0.4	0.75	1	0	-1	0	0.932500687995049	411
31	500	0.02	0.4	0.75	1	0	-1	0.01	0.932574077669162	472
31	500	0.02	0.4	0.75	1	0	8	0	0.931557663516833	503
31	500	0.02	0.4	0.75	1	0	8	0.01	0.933085125296833	543
31	500	0.02	0.4	0.9	1	0	-1	0	0.932261297223468	339
31	500	0.02	0.4	0.9	1	0	-1	0.01	0.932305778699255	476
31	500	0.02	0.4	0.9	1	0	8	0	0.933034606935071	484
31	500	0.02	0.4	0.9	1	0	8	0.01	0.933622913049008	484
31	500	0.02	0.5	0.75	1	0	-1	0	0.933453495410513	334
31	500	0.02	0.5	0.75	1	0	-1	0.01	0.932584870890292	411
31	500	0.02	0.5	0.75	1	0	8	0	0.933068204138161	423
31	500	0.02	0.5	0.75	1	0	8	0.01	0.93312112205909	431
31	500	0.02	0.5	0.9	1	0	-1	0	0.932413793681435	398
